,author,reviewBody,reviewRating,ratingMaxvalue,dateCreated,reviewUrl,reviewSource,name,address,Sentiment
10,Debby McAdams,This complex will be a beautiful space when completed. Open ping pong tables are available to all. Only thing lacking is adequate visible security personnel to control gangs of teens,4.0,5.0,2015,https://www.google.com/maps/contrib/105712830407103413046/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARBd,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
11,bijo alex,Really amazing and Beautiful Ã°Å¸ËœÂ Feels likes Home.,5.0,5.0,2015,https://www.google.com/maps/contrib/102971021790836979765/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARAx,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
12,Anne Buckley,Beautiful open space so near Dublin City Centre. The dog loves it and there is a really well equipped playground. The view of the Dublin Mountains makes it feel like the countryside. I really like the lilacs which are plentiful and we meet lots of lively friendly people. It's cool to hear people practising their instruments or singing through an open window. Highly recommended walking spot.,5.0,5.0,2015,https://www.google.com/maps/contrib/104385031994052486694/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegUIARCWAg,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
13,nicky ch,"- No place to study. - Cafeteria has less than 100 seats which means you can never get a seat during launch. - not even 1 year in my lecture hall is already breaking apart - constantly having issues with my student id not working. - yeah sure the greenery looks nice. but the campus is simply to small and lacks the facilities that a university should have, I know several it colleges and some community colleges that have better facilities than this campus. As an IT student i genually regret coming here.",1.0,5.0,2015,https://www.google.com/maps/contrib/109595448097147571044/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegUIARDIAQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",-1.0
14,Mr Atomic,Lovely campus. Great for a socially distanced walk. Exits to Stoneybatter/Prussia St and to Tesco Prussia st as well as to Grangegorman. Nice coffee truck too. Kids play round and football pitches.,5.0,5.0,2015,https://www.google.com/maps/contrib/104264639005188187553/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARBz,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
15,DÃƒÂ¡ire McCormack-George,"This is a beautiful new home for TU Dublin, Ireland's first technological university which developed out of the Dublin institutes of technology. Much of the site was originally an asylum and subsequently a psychiatric hospital. Part of that remains but has been moved to new buildings. The remaining older structures as well as a large number of new purpose-built university buildings are now located here.",5.0,5.0,2016,https://www.google.com/maps/contrib/116491093678638243196/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegQIARAs,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
16,DON MC QUILLAN,This looks like a state of the art new modem Technical University. I was very impressed.,5.0,5.0,2016,https://www.google.com/maps/contrib/118353427075264380638/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegUIARDeAQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
17,Dallan O'Reilly,This is a very impressive campus. It seems to be very well designed and very well planned out and and is sympathetic to the original buildings. Seems to have very good facilities including playing fields. It also benefits beautifully from wonderful views of the city of Dublin and the Dublin mountains.,5.0,5.0,2016,https://www.google.com/maps/contrib/110864343805780180296/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegUIARCJAQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
18,Michael Martin,Nice new facilities at this new campus of TU Dublin.,4.0,5.0,2016,https://www.google.com/maps/contrib/114016803674276037115/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegUIARCtAQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
19,Kevin O'Connell,Lots of people out for a walk on a November Sunday morning,5.0,5.0,2016,https://www.google.com/maps/contrib/102181384359822371302/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegUIARCfAQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
20,Andre Skyberg,"Amazing campus with a good vibe, just missing a proper cafÃƒÂ©.",5.0,5.0,2016,https://www.google.com/maps/contrib/115143907862639243946/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegQIARAC,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
21,jorge garcia rey,"Great campus to go for a walk, and with a couple of options to easily gain access during the day: Stonneybatter and North Circular road. It has some nice views of the mountains and good tracks for running as well as a good children's playground.",5.0,5.0,2016,https://www.google.com/maps/contrib/101831307353727533429/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegUIARD-AQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
22,Dallan O'Reilly,This is a very impressive campus. It seems to be very well designed and very well planned out and and is sympathetic to the original buildings. Seems to have very good facilities including playing fields. It also benefits beautifully from wonderful views of the city of Dublin and the Dublin mountains.,5.0,5.0,2016,https://www.google.com/maps/contrib/110864343805780180296/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegUIARCJAQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
23,Omar Nicolai,I know this building has over 200 years of varied history that you can find lots of resources on but visually is very interesting. You could explore the outside with your eyes and spend lots of time on that alone. Well worth a look. #exploreirishhistory,5.0,5.0,2016,https://www.google.com/maps/contrib/106972427415951950843/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegQIARBe,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
24,Dr. Ajmal Ayub,"Great team, great people, great campus, good working place",5.0,5.0,2016,https://www.google.com/maps/contrib/106816028624961908853/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegQIARBE,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
25,John Rock,"Excellent campus, really beautiful and modern. Makes me want to be a student again!",5.0,5.0,2016,https://www.google.com/maps/contrib/102029328729066843350/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegUIARDNAQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
26,nicky ch,"- No place to study. - Cafeteria has less than 100 seats which means you can never get a seat during launch. - not even 1 year in my lecture hall is already breaking apart - constantly having issues with my student id not working. - yeah sure the greenery looks nice. but the campus is simply to small and lacks the facilities that a university should have, I know several it colleges and some community colleges that have better facilities than this campus. As an IT student i genually regret coming here.",1.0,5.0,2016,https://www.google.com/maps/contrib/109595448097147571044/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegUIARDIAQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",-1.0
27,Mr Atomic,Lovely campus. Great for a socially distanced walk. Exits to Stoneybatter/Prussia St and to Tesco Prussia st as well as to Grangegorman. Nice coffee truck too. Kids play round and football pitches.,5.0,5.0,2016,https://www.google.com/maps/contrib/104264639005188187553/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegQIARBz,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
28,DÃƒÂ¡ire McCormack-George,"This is a beautiful new home for TU Dublin, Ireland's first technological university which developed out of the Dublin institutes of technology. Much of the site was originally an asylum and subsequently a psychiatric hospital. Part of that remains but has been moved to new buildings. The remaining older structures as well as a large number of new purpose-built university buildings are now located here.",5.0,5.0,2016,https://www.google.com/maps/contrib/116491093678638243196/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegQIARAs,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
29,Anne Buckley,Beautiful open space so near Dublin City Centre. The dog loves it and there is a really well equipped playground. The view of the Dublin Mountains makes it feel like the countryside. I really like the lilacs which are plentiful and we meet lots of lively friendly people. It's cool to hear people practising their instruments or singing through an open window. Highly recommended walking spot.,5.0,5.0,2016,https://www.google.com/maps/contrib/104385031994052486694/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegUIARCWAg,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
30,DON MC QUILLAN,This looks like a state of the art new modem Technical University. I was very impressed.,5.0,5.0,2016,https://www.google.com/maps/contrib/118353427075264380638/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegUIARDeAQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
31,Michael Martin,Nice new facilities at this new campus of TU Dublin.,4.0,5.0,2016,https://www.google.com/maps/contrib/114016803674276037115/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegUIARCtAQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
32,Alan Kelly,"Played a match on the GAA pitch vs St Brendan's, paid parking via apcoa app and run down changing rooms, pitch was in great condition though. Not sure what the rest of the campus is like.",4.0,5.0,2016,https://www.google.com/maps/contrib/115508643687314498816/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegQIARBH,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
33,Debby McAdams,This complex will be a beautiful space when completed. Open ping pong tables are available to all. Only thing lacking is adequate visible security personnel to control gangs of teens,4.0,5.0,2016,https://www.google.com/maps/contrib/105712830407103413046/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegQIARBd,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
34,Hiberniaworld Group,"Lots of teenegers and youths making trouble whole day long. Disturbing other visitors, kids, parents. Demage the buildings, facilities, steel the coffee van, Making fire, using fireworks.... Better to avoid this place!",5.0,5.0,2016,https://www.google.com/maps/contrib/104918391472842150935/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegQIARAb,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
35,bijo alex,Really amazing and Beautiful Ã°Å¸ËœÂ Feels likes Home.,5.0,5.0,2016,https://www.google.com/maps/contrib/102971021790836979765/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegQIARAx,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
36,ruth connolly,Great place to sit or exercise. Well kept safe area. Great view of Dublin and the mountains. Close to conveniences.,5.0,5.0,2016,https://www.google.com/maps/contrib/109046592166188370196/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegUIARC3AQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
37,Fintan Moloney,"Nice college grounds area for walking, jogging, exercise along with sports facilities and childrenÃ¢â‚¬â„¢s playground. Snacks and Tea / Coffee etc also available. Well connected to Dublin City centre, Luas Green line, Stoneybatter and North Circular Road.",5.0,5.0,2017,https://www.google.com/maps/contrib/105298876193952489297/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegUIARCTAQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
38,Kevin O'Connell,Lots of people out for a walk on a November Sunday morning,5.0,5.0,2017,https://www.google.com/maps/contrib/102181384359822371302/reviews?hl=en-US&sa=X&ved=2ahUKEwjL5M-bw9r6AhVLKkQIHQhZDWUQvfQBegUIARCfAQ,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
39,Dermot Dunne,"Stunning new university campus near Dublin city centre- a centre of excellence in music and drama with superb facilities including a 400-seater concert hall, smaller recital hall and theatre",5.0,5.0,2017,https://www.google.com/maps/contrib/117218062795471980358/reviews?hl=en-US&sa=X&ved=2ahUKEwjUo5Kbw9r6AhV1L0QIHX2rCswQvfQBegQIARB5,www.google.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
40,Patrick Maciel Albuquerque,,5.0,5.0,2017,https://www.google.com/maps/contrib/115251655229240682867/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARBA,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
41,Edson Martins,,5.0,5.0,2017,https://www.google.com/maps/contrib/112465730919322642695/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARDjAQ,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
42,Colum Mooney,,4.0,5.0,2017,https://www.google.com/maps/contrib/114610433414892441880/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARB6,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
43,Richard Kielthy,,5.0,5.0,2017,https://www.google.com/maps/contrib/102445902198495235497/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARBn,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
44,Damian Farnon,,5.0,5.0,2017,https://www.google.com/maps/contrib/102500170799121021377/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARAs,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
45,bijo alex,Really amazing and Beautiful Ã°Å¸ËœÂ Feels likes Home.,5.0,5.0,2017,https://www.google.com/maps/contrib/102971021790836979765/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARCgAQ,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
46,Luciano Machado de Almeida,,4.0,5.0,2017,https://www.google.com/maps/contrib/118174974947684343026/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARBU,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
47,Michael Cullen,,5.0,5.0,2017,https://www.google.com/maps/contrib/102081559790261713325/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARC2AQ,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
48,Vincent B,,4.0,5.0,2017,https://www.google.com/maps/contrib/115611381874642966706/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARCNAQ,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",1.0
49,Dr. Ajmal Ayub,,,,2017,https://www.google.com/maps/contrib/106816028624961908853/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARDJAQ,www.google.com,"TU Dublin, Grangegorman Campus","Grangegorman Lower, Dublin 7, Ireland",
50,Student,"Great team, great people, great campus, good working place",5.0,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
51,Student,"Nice socs and clubs, def check out",5.0,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
52,Student,After Covid struck it was a different experience but things worked out perfectly for me,5.0,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
53,Student,Really enjoyed first 2 years of my degree here. Campus atmospheres are very warm and welcoming and you are provided with countless opportunities to make friends and meet new people.,4.4,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
54,Student,Good university with competitive curriculum.,3.6,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
55,Student,"Really love this university, the people are so nice and welcoming.",5.0,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
56,Student,"Amazing University, I love this place so much. There are many clubs and society’s where you can find friends, and just enjoy college life. The lecturers are all really nice (in my experience so far), and really understanding regarding extensions to deadlines etc.. The facilities are great and so is the location (quite close to the city centre). Overall I love DCU and i’m so glad I attend this university.",5.0,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
57,Student,Dublin City University- I really enjoy this college and my course,5.0,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
58,Student,Only getting started but love it so far,4.4,5.0,2013,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
59,Student,"Great college e perience and lectures/lecturers. Careers service, students union and grant programs could house some betterment but no major complaints.",4.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
60,Student,Modules all online this year so no comments.,3.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,-1.0
61,Student,It was a great experience even considering current circumstances,5.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
62,Student,Technological university Dublin,5.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
63,Student,Dublin City University is a well recognised institution with first rate faculty and an impressive array of courses.,4.6,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
64,Student,Excellent university. The lecturers where extremely helpful.,5.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
65,Student,"Modern university, careful staff, all you need for studying is there including free laptops and computers, libraries, free rooms for group studies. Communicative staff, well organized.",5.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
66,Student,The most progressive and modern university in the country that is miles ahead of everyone else.,5.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
67,Student,"Excellent college with channels into any area of knowledge, would recommend",5.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
68,Student,"I really love DCU because of the relations students have with their lecturers. Everyone is treated individually, everyone can ask for help if needed and I feel like every lecturer really tries their best to make every student feel and do their best",4.4,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
69,Student,"A great college , it’s a really nice relaxed atmosphere where everyone feels accepted",4.8,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
70,Student,"Absolute best university I originally went to UCD but dropped out after a year and went to DCU, when comparing the two I found DCU had more to offer both academically and socially. It has a sort of family atmosphere where everyone plays an important role. Classes are smaller and more personal so lecturers go to a special effort to teach everyone at all levels, individually. The facilities for students are exemplary with only a short walk between all. In my previous college experience I had a long walking trip between facilities like gym and library, even basic lecture halls. Overall I’d really recommend DCU if you’re looking for a thriving college life and do well academically. 10/10",4.8,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
71,Student,"DCU is community, people look after eachother and we are one big family. The uni is small but not too small it’s perfect!",5.0,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054981-dublin-city-university-dublin,www.studentcrowd.com,Dublin City University,Dublin City University,1.0
72,Student,Bolton street is a great learning environment with an amazing canteen and library,4.4,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054984-technological-university-dublin-dublin,www.studentcrowd.com,"TU Dublin,Bolton Street","TU Dublin,Bolton Street",1.0
73,Student,great college. made great friends. great courses for specalised areas,4.4,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054984-technological-university-dublin-dublin,www.studentcrowd.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
74,Student,great place to study in the country,3.6,5.0,2012,https://www.studentcrowd.com/university-l1054971-s1054984-technological-university-dublin-dublin,www.studentcrowd.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
75,Student,I am based in aungier st there is nothing nice about the college. Although it has clean bathrooms etc. When it comes to microwaves etc there is only one in the whole college. The food areas could be nicer.,3.0,5.0,2010,https://www.studentcrowd.com/university-l1054971-s1054984-technological-university-dublin-dublin,www.studentcrowd.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",-1.0
76,Student,Good university especially for engineering. Top class lecturers who care about their students and are often available to lend a hand when required. New Grangegorman campus is a huge upgrade from Kevin's Street campus,4.0,5.0,2010,https://www.studentcrowd.com/university-l1054971-s1054984-technological-university-dublin-dublin,www.studentcrowd.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",1.0
77,Student,The best thin was that the lecturers had only a few students per class,3.2,5.0,2010,https://www.studentcrowd.com/university-l1054971-s1054984-technological-university-dublin-dublin,www.studentcrowd.com,"TU Dublin,Tallaght","TU Dublin,Tallaght",-1.0
78,Student,"Very friendly environment, helpful staff and lots of ways to socialise.",4.6,5.0,2010,https://www.studentcrowd.com/university-l1054971-s1054984-technological-university-dublin-dublin,www.studentcrowd.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
79,Student,Very nice university. Could not be happier about my course even though it is chemistry and we do more physics than chem.,4.8,5.0,2010,https://www.studentcrowd.com/university-l1054971-s1054984-technological-university-dublin-dublin,www.studentcrowd.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
